License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2019,313,N,0,0,0,132,119,12,0,6,126,0,68,51
2019,313,R,0,0,0,189,117,72,0,21,168,6,72,39
2019,313,SUM,0,0,0,321,237,84,0,27,294,6,141,90
2020,313,N,346,2688,8,123,121,2,0,25,98,0,68,53
2020,313,R,916,6869,8,245,167,77,0,23,222,6,101,60
2020,313,SUM,1262,9557,8,367,288,79,0,48,320,6,170,113
2021,313,N,0,0,0,118,112,7,0,24,91,0,65,46
2021,313,R,0,0,0,199,126,74,0,36,163,0,91,35
2021,313,SUM,0,0,0,318,237,81,0,60,254,0,156,81
2022,313,N,428,2589,6,147,138,9,0,11,136,0,94,44
2022,313,R,879,6332,7,188,160,28,0,22,166,0,75,84
2022,313,SUM,1307,8921,7,335,298,37,0,33,302,0,170,128
2023,313,N,0,0,0,100,99,1,0,11,89,0,74,24
2023,313,R,0,0,0,189,140,47,3,38,151,2,91,47
2023,313,SUM,0,0,0,289,238,48,3,49,240,2,165,71
2024,313,N,455,2686,6,115,101,14,0,21,94,0,70,31
2024,313,R,871,7219,8,231,137,94,0,21,209,0,74,63
2024,313,SUM,1326,9905,8,346,238,108,0,42,303,0,145,94